order_id,customer_id,order_date,product_sku,quantity_kg,unit_price_inr,total_value_inr,delivery_date,payment_status,invoice_number,payment_terms
ORD00000001,C00001,2023-09-22,HF-HASH-BROWN-1KG,1018.52,152.33,155151.15,2023-09-30,Paid,INV994638,Net 30
ORD00000002,C00001,2022-06-12,HF-HASH-BROWN-1KG,3839.0,173.3,665298.7,2022-06-19,Paid,INV732149,Net 30
ORD00000003,C00001,2024-11-09,HF-HASH-BROWN-1KG,1162.66,144.64,168167.14,2024-11-20,Paid,INV656462,Net 30
ORD00000004,C00001,2023-12-07,HF-PATTY-ALOO-1KG,2687.83,174.29,468461.89,2023-12-21,Paid,INV383970,Net 30
ORD00000005,C00001,2023-09-03,HF-FF-CRINKLE-2.5KG,1658.34,129.94,215484.7,2023-09-17,Paid,INV620232,Net 30
ORD00000006,C00001,2024-07-17,HF-FF-CRINKLE-2.5KG,1136.71,129.29,146965.24,2024-07-29,Paid,INV872019,Net 30
ORD00000007,C00001,2023-03-09,HF-FF-SHOESTRING-2.5KG,4412.86,157.19,693657.46,2023-03-19,Paid,INV524776,Net 30
ORD00000008,C00001,2023-06-27,HF-FF-SHOESTRING-2.5KG,2393.27,172.0,411642.44,2023-07-10,Paid,INV893279,Net 30
ORD00000009,C00001,2023-11-15,HF-POTATO-SMILES-500G,1841.13,175.67,323431.31,2023-11-27,Pending,INV984160,Net 30
ORD00000010,C00001,2022-04-07,HF-PATTY-CUTLET-1KG,3914.86,121.23,474598.48,2022-04-16,Delayed,INV657372,Net 30
ORD00000011,C00001,2023-10-26,HF-POTATO-CHEESE-BALLS-500G,2581.85,170.55,440334.52,2023-11-07,Delayed,INV434068,Net 30
ORD00000012,C00001,2023-09-27,HF-POTATO-CHEESE-BALLS-500G,2282.65,179.23,409119.36,2023-10-01,Paid,INV841643,Net 30
ORD00000013,C00001,2023-10-21,HF-POTATO-SMILES-500G,4309.63,165.18,711864.68,2023-10-26,Paid,INV175713,Net 30
ORD00000014,C00001,2023-01-13,HF-PATTY-BURGER-1KG,1109.78,126.47,140353.88,2023-01-27,Paid,INV329822,Net 30
ORD00000015,C00001,2023-07-27,HF-PATTY-BURGER-1KG,3385.35,159.69,540606.54,2023-08-04,Paid,INV186713,Net 30
ORD00000016,C00001,2024-05-25,HF-PATTY-BURGER-1KG,1163.83,171.24,199294.25,2024-06-01,Paid,INV202145,Net 30
ORD00000017,C00002,2024-05-02,HF-HASH-BROWN-1KG,4431.79,145.0,642609.55,2024-05-07,Paid,INV721910,Net 90
ORD00000018,C00002,2022-05-14,HF-FF-WEDGES-2.5KG,3234.79,150.64,487288.77,2022-05-27,Paid,INV580167,Net 90
ORD00000019,C00002,2024-11-26,HF-FF-WEDGES-2.5KG,660.48,125.42,82837.4,2024-12-04,Paid,INV773628,Net 90
