batch_id,farmer_id,procurement_date,quantity_mt,variety,quality_grade,price_per_mt,moisture_content,defect_percentage
PB202512106491,F0001,2022-06-23,9.51,FL-2027,Grade A,21449.86,70.8,6.2
PB202512104680,F0001,2023-04-27,6.6,FL-1867,Grade B,26734.63,71.7,6.6
PB202512105011,F0001,2022-10-29,10.04,Kufri Chipsona,Premium,16145.59,72.0,6.7
PB202512104185,F0001,2022-05-30,7.32,Kufri Chipsona,Grade A,24184.52,74.3,7.1
PB202512103417,F0001,2024-10-09,14.81,FL-2027,Grade A,20716.2,75.3,3.6
PB202512104585,F0001,2022-08-07,5.7,FL-1867,Grade B,22411.02,79.0,4.5
PB202512105082,F0002,2024-08-09,3.86,FL-2027,Premium,27196.6,74.6,4.8
PB202512108612,F0002,2024-07-23,9.25,3797,Premium,24993.9,71.4,7.6
PB202512109270,F0002,2024-06-25,7.02,Kufri Chipsona,Grade A,22679.24,71.7,6.6
PB202512108777,F0002,2024-07-02,6.96,Kufri Chipsona,Grade B,24267.69,80.7,6.5
PB202512105543,F0002,2023-06-15,3.21,Kufri Chipsona,Grade B,22493.78,73.0,6.2
PB202512102269,F0002,2023-05-05,2.27,3797,Grade A,24559.12,79.1,7.1
PB202512106238,F0002,2023-04-26,4.74,FL-2027,Grade A,26570.06,71.3,6.9
PB202512107275,F0002,2022-10-11,8.19,FL-1867,Premium,17781.01,79.6,2.0
PB202512107678,F0002,2023-03-15,10.73,3797,Premium,20055.77,78.6,5.5
PB202512104388,F0002,2024-08-12,7.55,Kufri Chipsona,Grade A,24341.8,73.0,3.4
PB202512101320,F0002,2024-03-08,9.54,Kufri Chipsona,Grade C,21359.15,77.0,3.8
PB202512106763,F0002,2024-09-03,5.7,3797,Premium,27578.27,71.8,5.1
PB202512109947,F0003,2024-05-08,6.05,FL-1867,Grade A,24891.63,70.2,7.1
PB202512108140,F0003,2024-09-26,9.46,Kufri Chipsona,Premium,24521.07,78.4,7.5
PB202512107624,F0003,2022-03-01,22.68,FL-1867,Grade A,16067.77,76.9,5.2
PB202512109751,F0003,2024-08-15,5.39,FL-2027,Grade C,25891.55,81.2,7.5
PB202512101444,F0003,2024-03-17,16.27,FL-2027,Grade A,15792.67,81.8,6.9
PB202512108564,F0003,2024-05-27,3.0,FL-1867,Premium,27366.74,80.4,4.6
PB202512106363,F0003,2022-04-13,6.73,FL-1867,Grade A,23192.02,70.7,3.3
PB202512107211,F0003,2024-07-20,8.42,3797,Grade A,20037.06,74.0,3.8
PB202512102341,F0003,2024-05-13,6.3,Kufri Chipsona,Grade A,27358.84,74.2,3.4
PB202512101853,F0003,2022-02-09,23.44,3797,Grade B,18165.53,72.7,4.2
PB202512101659,F0004,2022-05-21,3.13,FL-2027,Grade B,21411.1,76.0,3.9
PB202512101333,F0004,2023-05-22,9.32,FL-1867,Premium,22899.15,77.0,5.4
PB202512102874,F0004,2023-05-04,2.1,FL-1867,Premium,25308.3,72.1,7.7
PB202512107043,F0004,2024-08-10,3.19,FL-1867,Grade B,23316.99,71.0,8.0
PB202512103683,F0004,2022-08-23,6.02,3797,Grade B,24763.08,70.8,6.2
PB202512106111,F0004,2022-08-10,3.68,Kufri Chipsona,Grade A,27184.43,72.5,2.3
PB202512104249,F0004,2024-03-23,5.91,FL-2027,Grade C,18304.47,76.8,1.5
PB202512105941,F0005,2022-07-28,8.2,FL-2027,Grade B,23626.31,76.3,4.1
PB202512108018,F0005,2022-03-26,15.02,3797,Grade A,18917.48,71.9,2.3
PB202512106590,F0005,2022-05-22,8.89,FL-2027,Grade A,27568.92,74.5,2.9
PB202512102729,F0005,2024-05-10,7.15,Kufri Chipsona,Grade B,23269.87,70.3,2.1
PB202512108532,F0005,2024-01-12,22.9,FL-1867,Grade A,19612.47,70.3,2.6
PB202512109548,F0005,2024-06-10,3.85,3797,Premium,25375.14,70.2,1.7
PB202512105397,F0005,2024-09-17,8.4,3797,Grade A,21428.36,77.8,2.7
PB202512108385,F0006,2022-06-27,2.8,FL-1867,Grade A,21945.38,78.7,7.0
PB202512107209,F0006,2024-08-09,8.64,3797,Grade A,23177.47,78.0,2.4
PB202512106325,F0006,2022-02-28,12.33,FL-1867,Grade A,21274.35,70.2,1.6
PB202512105232,F0006,2024-09-25,3.66,3797,Premium,20212.26,72.2,5.1
PB202512105526,F0006,2023-07-27,5.37,FL-2027,Grade B,27141.37,79.8,3.4
PB202512102402,F0006,2024-11-24,11.49,FL-1867,Grade C,17657.85,77.1,2.9
PB202512104937,F0006,2024-04-12,6.99,Kufri Chipsona,Grade A,23275.29,76.6,4.1
PB202512102524,F0007,2024-07-06,4.36,3797,Grade B,27587.63,79.2,2.0
PB202512104986,F0007,2023-03-30,26.71,3797,Grade A,18412.02,80.7,6.6
PB202512109698,F0007,2024-01-26,15.63,3797,Grade A,15157.29,73.2,4.8
PB202512106419,F0007,2024-05-21,7.07,3797,Grade C,22063.1,71.7,6.8
PB202512105118,F0007,2024-07-18,9.88,FL-1867,Grade A,24205.52,72.1,2.9
PB202512106169,F0007,2022-09-05,2.15,FL-2027,Grade B,27314.39,71.4,5.0
PB202512108933,F0007,2023-01-15,11.85,3797,Premium,18879.25,77.8,6.8
PB202512102647,F0007,2024-12-10,10.16,FL-1867,Grade A,15076.97,71.6,7.3
PB202512103939,F0007,2023-08-30,8.99,3797,Premium,24779.3,77.2,5.7
PB202512103073,F0007,2022-01-29,9.38,3797,Grade B,21400.88,75.0,3.7
PB202512105786,F0007,2022-04-04,6.15,FL-1867,Grade C,20375.73,72.0,6.2
PB202512105658,F0008,2022-07-30,2.66,Kufri Chipsona,Grade B,24825.22,72.9,3.7
PB202512104020,F0008,2024-09-07,4.31,FL-2027,Grade A,22845.38,78.6,3.1
PB202512108827,F0008,2023-06-02,6.53,FL-2027,Grade C,23808.4,78.0,7.6
PB202512102213,F0008,2022-05-14,7.86,FL-2027,Grade A,21719.52,70.4,2.8
PB202512105978,F0008,2022-11-07,19.88,FL-2027,Premium,15359.98,76.0,5.2
PB202512107818,F0008,2023-05-24,4.67,FL-1867,Premium,26167.3,71.3,1.5
PB202512108253,F0008,2024-12-06,23.2,3797,Grade A,18468.44,78.3,4.0
PB202512101986,F0008,2024-05-28,3.97,FL-2027,Grade A,26552.82,79.6,5.9
PB202512105335,F0008,2023-03-02,11.8,FL-2027,Grade A,19131.61,74.3,1.6
PB202512102229,F0008,2022-11-18,27.93,FL-1867,Premium,15957.73,81.4,4.1
PB202512108699,F0008,2022-01-06,9.63,3797,Grade A,18793.31,80.5,6.1
