batch_id,production_date,product_sku,raw_material_used_mt,finished_goods_mt,plant_location,shift,operator_id,temperature_celsius,processing_time_hours
PR20220101753,2022-01-01,HF-HASH-BROWN-1KG,5.97,4.6,Ahmedabad Plant 1,Morning,OP128,-19.5,4.9
PR20220101268,2022-01-01,HF-FF-SHOESTRING-2.5KG,4.55,3.96,Ahmedabad Plant 1,Night,OP164,-18.3,3.1
PR20220101334,2022-01-01,HF-POTATO-SMILES-500G,2.38,2.03,Ahmedabad Plant 2,Morning,OP210,-19.2,3.3
PR20220101454,2022-01-01,HF-ALOO-TIKKI-1KG,2.98,2.25,Rajkot Plant,Evening,OP236,-18.3,3.8
PR20220101149,2022-01-01,HF-POTATO-SMILES-500G,3.48,2.73,Rajkot Plant,Evening,OP143,-19.8,4.1
PR20220101477,2022-01-01,HF-PATTY-BURGER-1KG,6.38,4.81,Rajkot Plant,Morning,OP179,-18.7,3.9
PR20220101230,2022-01-01,HF-FF-CRINKLE-2.5KG,3.12,2.39,Rajkot Plant,Night,OP159,-19.7,5.8
PR20220101615,2022-01-01,HF-PATTY-CUTLET-1KG,2.47,1.96,Ahmedabad Plant 2,Evening,OP168,-19.9,2.3
PR20220101148,2022-01-01,HF-FF-SHOESTRING-2.5KG,5.86,5.14,Rajkot Plant,Evening,OP165,-20.0,3.9
PR20220101412,2022-01-01,HF-PATTY-CUTLET-1KG,2.98,2.31,Ahmedabad Plant 2,Night,OP219,-19.8,5.6
PR20220102857,2022-01-02,HF-FF-WEDGES-2.5KG,5.65,4.8,Ahmedabad Plant 1,Morning,OP128,-19.5,4.6
PR20220102243,2022-01-02,HF-PATTY-ALOO-1KG,6.96,5.84,Ahmedabad Plant 1,Night,OP214,-19.1,2.9
PR20220102392,2022-01-02,HF-POTATO-CHEESE-BALLS-500G,6.46,5.24,Rajkot Plant,Night,OP225,-18.6,5.2
PR20220102798,2022-01-02,HF-ALOO-TIKKI-1KG,6.18,5.39,Rajkot Plant,Morning,OP215,-18.3,4.6
PR20220102548,2022-01-02,HF-HASH-BROWN-1KG,3.47,3.01,Ahmedabad Plant 1,Morning,OP175,-18.2,4.6
PR20220102760,2022-01-02,HF-FF-WEDGES-2.5KG,6.75,5.37,Ahmedabad Plant 2,Morning,OP107,-19.9,5.4
PR20220102296,2022-01-02,HF-POTATO-CHEESE-BALLS-500G,3.77,2.83,Rajkot Plant,Evening,OP143,-18.6,3.1
PR20220102939,2022-01-02,HF-FF-CRINKLE-2.5KG,7.34,6.43,Ahmedabad Plant 2,Evening,OP103,-18.1,3.9
PR20220102770,2022-01-02,HF-POTATO-CHEESE-BALLS-500G,5.29,4.03,Ahmedabad Plant 1,Morning,OP199,-18.8,3.3
PR20220102352,2022-01-02,HF-FF-SHOESTRING-2.5KG,5.22,4.36,Ahmedabad Plant 2,Evening,OP149,-19.4,2.5
PR20220102133,2022-01-02,HF-HASH-BROWN-1KG,6.88,5.77,Rajkot Plant,Morning,OP183,-19.8,3.8
PR20220102836,2022-01-02,HF-POTATO-CHEESE-BALLS-500G,7.36,6.35,Rajkot Plant,Morning,OP168,-18.9,3.5
PR20220102739,2022-01-02,HF-PATTY-ALOO-1KG,7.6,6.41,Ahmedabad Plant 2,Morning,OP178,-19.9,5.2
PR20220103136,2022-01-03,HF-FF-CRINKLE-2.5KG,5.66,4.33,Rajkot Plant,Morning,OP201,-18.6,5.9
PR20220103551,2022-01-03,HF-POTATO-SMILES-500G,3.92,2.99,Rajkot Plant,Evening,OP231,-19.4,4.9
PR20220103168,2022-01-03,HF-HASH-BROWN-1KG,3.71,2.93,Ahmedabad Plant 2,Morning,OP171,-18.9,2.1
PR20220103360,2022-01-03,HF-PATTY-BURGER-1KG,6.74,5.33,Rajkot Plant,Evening,OP166,-19.7,5.2
PR20220103368,2022-01-03,HF-HASH-BROWN-1KG,5.97,4.73,Ahmedabad Plant 1,Night,OP153,-19.0,3.8
PR20220103939,2022-01-03,HF-POTATO-CHEESE-BALLS-500G,4.03,3.47,Ahmedabad Plant 2,Night,OP116,-19.0,5.3
PR20220103586,2022-01-03,HF-ALOO-TIKKI-1KG,2.63,2.02,Rajkot Plant,Morning,OP215,-20.0,4.4
PR20220103821,2022-01-03,HF-POTATO-CHEESE-BALLS-500G,5.06,4.14,Ahmedabad Plant 1,Morning,OP182,-18.4,4.9
PR20220104759,2022-01-04,HF-ALOO-TIKKI-1KG,2.51,2.07,Ahmedabad Plant 1,Morning,OP237,-19.1,5.7
PR20220104567,2022-01-04,HF-POTATO-CHEESE-BALLS-500G,5.16,3.96,Rajkot Plant,Night,OP165,-19.1,2.4
PR20220104995,2022-01-04,HF-POTATO-CHEESE-BALLS-500G,3.22,2.43,Rajkot Plant,Evening,OP245,-19.0,2.3
PR20220104693,2022-01-04,HF-HASH-BROWN-1KG,4.82,4.2,Rajkot Plant,Night,OP231,-19.4,2.3
PR20220104895,2022-01-04,HF-FF-WEDGES-2.5KG,3.35,2.81,Rajkot Plant,Night,OP115,-19.8,2.1
PR20220104413,2022-01-04,HF-PATTY-CUTLET-1KG,6.87,5.65,Ahmedabad Plant 2,Night,OP134,-19.1,5.8
PR20220104957,2022-01-04,HF-POTATO-SMILES-500G,6.49,5.58,Ahmedabad Plant 1,Evening,OP215,-18.7,4.2
PR20220104797,2022-01-04,HF-FF-WEDGES-2.5KG,5.69,4.51,Ahmedabad Plant 2,Evening,OP159,-19.1,2.9
PR20220104137,2022-01-04,HF-FF-CRINKLE-2.5KG,2.86,2.28,Rajkot Plant,Night,OP238,-19.5,5.7
PR20220104865,2022-01-04,HF-HASH-BROWN-1KG,4.75,3.96,Rajkot Plant,Evening,OP144,-18.2,5.6
PR20220104374,2022-01-04,HF-FF-WEDGES-2.5KG,5.41,4.61,Ahmedabad Plant 1,Night,OP157,-19.6,3.0
PR20220105266,2022-01-05,HF-POTATO-CHEESE-BALLS-500G,5.18,4.53,Ahmedabad Plant 1,Morning,OP245,-18.2,4.7
