date,revenue_source,product_category,revenue_inr,cogs_inr,gross_margin_inr
2022-01-01,B2B,Patties,792050.55,491071.34,300979.21
2022-01-01,B2B,Specialty,723081.11,448310.29,274770.82
2022-01-01,B2C,French Fries,28828.64,15855.75,12972.89
2022-01-01,B2C,Patties,35786.15,19682.38,16103.77
2022-01-01,B2C,Specialty,23653.43,13009.39,10644.04
2022-01-02,B2B,French Fries,130199.92,80723.95,49475.97
2022-01-02,B2B,Patties,445962.59,276496.81,169465.78
2022-01-02,B2B,Specialty,1068734.39,662615.32,406119.07
2022-01-02,B2C,French Fries,50435.23,27739.38,22695.85
2022-01-02,B2C,Patties,40938.13,22515.97,18422.16
2022-01-02,B2C,Specialty,24446.44,13445.54,11000.9
2022-01-03,B2B,Specialty,345045.41,213928.15,131117.26
2022-01-03,B2C,French Fries,44620.48,24541.26,20079.22
2022-01-03,B2C,Patties,38027.42,20915.08,17112.34
2022-01-03,B2C,Specialty,26794.11,14736.76,12057.35
2022-01-04,B2B,French Fries,1314971.4,815282.27,499689.13
2022-01-04,B2B,Patties,864891.51,536232.74,328658.77
2022-01-04,B2B,Specialty,547018.62,339151.54,207867.08
2022-01-04,B2C,French Fries,17061.39,9383.76,7677.63
2022-01-04,B2C,Patties,28990.62,15944.84,13045.78
2022-01-04,B2C,Specialty,10441.86,5743.02,4698.84
2022-01-05,B2B,French Fries,1302488.18,807542.67,494945.51
2022-01-05,B2B,Patties,480611.89,297979.37,182632.52
2022-01-05,B2B,Specialty,638131.32,395641.42,242489.9
2022-01-05,B2C,French Fries,37020.11,20361.06,16659.05
2022-01-05,B2C,Patties,38794.01,21336.71,17457.3
2022-01-05,B2C,Specialty,25921.23,14256.68,11664.55
2022-01-06,B2B,Patties,640200.26,396924.16,243276.1
2022-01-06,B2C,French Fries,43054.04,23679.72,19374.32
2022-01-06,B2C,Patties,42388.06,23313.43,19074.63
2022-01-06,B2C,Specialty,22020.59,12111.32,9909.27
2022-01-07,B2B,Specialty,974465.84,604168.82,370297.02
2022-01-07,B2C,French Fries,42842.0,23563.1,19278.9
2022-01-07,B2C,Patties,40794.49,22436.97,18357.52
2022-01-07,B2C,Specialty,32079.03,17643.47,14435.56
2022-01-08,B2B,Patties,153044.12,94887.35,58156.77
2022-01-08,B2B,Specialty,1029432.34,638248.05,391184.29
2022-01-08,B2C,French Fries,34246.66,18835.66,15411.0
2022-01-08,B2C,Patties,36588.8,20123.84,16464.96
2022-01-08,B2C,Specialty,25847.39,14216.06,11631.33
2022-01-09,B2B,French Fries,443595.29,275029.08,168566.21
2022-01-09,B2B,Specialty,667458.83,413824.47,253634.36
2022-01-09,B2C,French Fries,30479.0,16763.45,13715.55
2022-01-09,B2C,Patties,29935.78,16464.68,13471.1
2022-01-09,B2C,Specialty,26552.18,14603.7,11948.48
2022-01-10,B2C,French Fries,36418.41,20030.13,16388.28
2022-01-10,B2C,Patties,31344.05,17239.23,14104.82
2022-01-10,B2C,Specialty,18701.65,10285.91,8415.74
2022-01-11,B2B,French Fries,827279.83,512913.49,314366.34
2022-01-11,B2B,Specialty,167711.9,103981.38,63730.52
2022-01-11,B2C,French Fries,19593.0,10776.15,8816.85
2022-01-11,B2C,Patties,22038.15,12120.98,9917.17
2022-01-11,B2C,Specialty,20687.96,11378.38,9309.58
