wastage_id,batch_id,wastage_date,wastage_type,quantity_kg,recovery_possible,cost_impact_inr
WS000009,PR20220101148,2022-01-01,Spillage,131.01,No,18525.84
WS000012,PR20220102243,2022-01-02,Quality Rejection,146.93,Yes,21865.36
WS000026,PR20220103168,2022-01-03,Processing Waste,78.27,No,8277.65
WS000032,PR20220104759,2022-01-04,Spillage,50.45,Yes,4236.49
WS000035,PR20220104693,2022-01-04,Spillage,375.07,Yes,31675.6
WS000038,PR20220104957,2022-01-04,Processing Waste,465.43,No,66780.68
WS000066,PR20220106762,2022-01-06,Processing Waste,620.02,No,87102.31
WS000070,PR20220106142,2022-01-06,Quality Rejection,207.29,Yes,17334.74
WS000073,PR20220107647,2022-01-07,Quality Rejection,551.5,No,44910.96
WS000074,PR20220107263,2022-01-07,Processing Waste,145.28,No,12445.61
WS000082,PR20220107189,2022-01-07,Spillage,331.6,No,28548.11
WS000085,PR20220107975,2022-01-07,Quality Rejection,81.19,No,10121.58
WS000087,PR20220108220,2022-01-08,Processing Waste,341.69,No,30593.48
WS000108,PR20220110174,2022-01-10,Spillage,274.05,Yes,28459.1
WS000109,PR20220110593,2022-01-10,Processing Waste,305.62,No,35969.86
WS000114,PR20220110861,2022-01-10,Processing Waste,169.56,No,23814.06
WS000122,PR20220111452,2022-01-11,Quality Rejection,113.03,Yes,10435.02
WS000123,PR20220111583,2022-01-11,Quality Rejection,200.99,No,23668.99
WS000124,PR20220111739,2022-01-11,Processing Waste,187.36,No,21592.39
WS000132,PR20220111545,2022-01-11,Spillage,213.78,No,19089.3
WS000144,PR20220112339,2022-01-12,Spillage,450.48,No,63460.24
WS000148,PR20220113749,2022-01-13,Processing Waste,108.08,Yes,11433.31
WS000156,PR20220113132,2022-01-13,Quality Rejection,292.52,Yes,41180.08
WS000157,PR20220113202,2022-01-13,Spillage,369.57,Yes,43391.14
WS000190,PR20220116190,2022-01-16,Quality Rejection,337.07,No,47561.84
WS000200,PR20220117101,2022-01-17,Expired Stock,123.98,No,17080.11
WS000202,PR20220117106,2022-01-17,Quality Rejection,230.13,Yes,27769.85
WS000205,PR20220117686,2022-01-17,Processing Waste,466.28,No,53997.39
WS000206,PR20220117679,2022-01-17,Expired Stock,92.58,No,13211.78
WS000211,PR20220118825,2022-01-18,Quality Rejection,333.99,No,28382.66
WS000224,PR20220119230,2022-01-19,Expired Stock,39.18,Yes,3850.99
WS000233,PR20220120329,2022-01-20,Quality Rejection,105.16,No,13038.83
WS000236,PR20220120985,2022-01-20,Quality Rejection,400.33,Yes,55590.49
WS000237,PR20220120867,2022-01-20,Spillage,312.67,No,30553.63
WS000239,PR20220120168,2022-01-20,Spillage,145.82,Yes,11772.83
WS000240,PR20220120254,2022-01-20,Quality Rejection,252.09,No,22717.31
WS000246,PR20220121393,2022-01-21,Expired Stock,112.08,No,15201.95
WS000252,PR20220121402,2022-01-21,Quality Rejection,338.5,No,31859.18
WS000264,PR20220123180,2022-01-23,Processing Waste,77.88,Yes,7210.32
WS000270,PR20220123547,2022-01-23,Spillage,181.24,No,20271.13
WS000275,PR20220124440,2022-01-24,Processing Waste,316.09,Yes,40914.14
WS000287,PR20220125607,2022-01-25,Expired Stock,215.64,No,26667.51
WS000295,PR20220126915,2022-01-26,Processing Waste,38.97,Yes,5540.72
WS000297,PR20220126540,2022-01-26,Quality Rejection,318.91,Yes,37658.8
WS000305,PR20220127535,2022-01-27,Processing Waste,247.47,Yes,36639.4
WS000308,PR20220127303,2022-01-27,Spillage,409.83,No,33272.78
WS000314,PR20220128332,2022-01-28,Quality Rejection,134.72,Yes,11740.24
WS000317,PR20220128533,2022-01-28,Expired Stock,86.85,Yes,6955.95
WS000318,PR20220128135,2022-01-28,Spillage,195.04,Yes,19050.81
WS000329,PR20220129245,2022-01-29,Expired Stock,226.82,Yes,18892.37
WS000344,PR20220131164,2022-01-31,Processing Waste,70.78,No,9590.02
WS000348,PR20220131173,2022-01-31,Spillage,279.99,No,29892.37
WS000353,PR20220131588,2022-01-31,Quality Rejection,56.3,No,7561.46
WS000355,PR20220201737,2022-02-01,Processing Waste,483.72,Yes,56556.63
WS000360,PR20220201175,2022-02-01,Spillage,72.81,Yes,9150.56
