shipment_id,order_id,destination_country,shipping_method,departure_date,arrival_date,transit_days,customs_cleared,shipping_cost_inr,container_number
SHIP0000001,ORD00000001,Kuwait,Air Cargo,2023-09-24,2023-10-02,8,Yes,174819.25,CONT552887
SHIP0000002,ORD00000002,Kuwait,Road Transport,2022-06-14,2022-06-18,4,Yes,122641.13,CONT198218
SHIP0000003,ORD00000003,Kuwait,Road Transport,2024-11-05,2024-11-12,7,Yes,171874.33,CONT260037
SHIP0000004,ORD00000004,Kuwait,Sea Freight,2023-12-16,2023-12-20,4,Pending,289700.09,CONT727857
SHIP0000005,ORD00000005,Kuwait,Road Transport,2023-09-04,2023-09-07,3,No,69260.96,CONT684633
SHIP0000006,ORD00000006,Kuwait,Sea Freight,2024-07-19,2024-07-22,3,No,250877.38,CONT277398
SHIP0000007,ORD00000007,Kuwait,Sea Freight,2023-02-27,2023-03-03,4,Yes,163831.88,CONT349640
SHIP0000008,ORD00000008,Kuwait,Sea Freight,2023-06-26,2023-07-04,8,Yes,213422.99,CONT851696
SHIP0000009,ORD00000009,Kuwait,Sea Freight,2023-11-15,2023-11-22,7,No,292343.31,CONT437667
SHIP0000010,ORD00000010,Kuwait,Air Cargo,2022-04-01,2022-04-08,7,Yes,164888.93,CONT276117
SHIP0000011,ORD00000011,Kuwait,Air Cargo,2023-10-28,2023-11-02,5,Yes,74007.93,CONT934951
SHIP0000012,ORD00000012,Kuwait,Sea Freight,2023-09-13,2023-09-21,8,Yes,256978.09,CONT824001
SHIP0000013,ORD00000013,Kuwait,Sea Freight,2023-10-12,2023-10-17,5,Yes,116178.29,CONT716031
SHIP0000014,ORD00000014,Kuwait,Air Cargo,2023-01-19,2023-01-22,3,Yes,276303.08,CONT635470
SHIP0000015,ORD00000015,Kuwait,Air Cargo,2023-07-17,2023-07-21,4,Yes,70484.65,CONT506383
SHIP0000016,ORD00000016,Kuwait,Sea Freight,2024-05-23,2024-05-29,6,Pending,106996.14,CONT762929
SHIP0000017,ORD00000017,Malaysia,Road Transport,2024-04-26,2024-05-03,7,Yes,292017.31,CONT219430
SHIP0000018,ORD00000018,Malaysia,Road Transport,2022-05-08,2022-05-15,7,Pending,270064.81,CONT245235
SHIP0000019,ORD00000019,Malaysia,Road Transport,2024-11-27,2024-12-09,12,Yes,104706.54,CONT776095
SHIP0000020,ORD00000020,Malaysia,Air Cargo,2022-08-18,2022-08-24,6,Yes,244116.27,CONT873927
SHIP0000021,ORD00000021,Malaysia,Air Cargo,2022-09-05,2022-09-11,6,Pending,71573.16,CONT555220
SHIP0000022,ORD00000022,Malaysia,Air Cargo,2024-11-03,2024-11-11,8,Pending,89463.6,CONT137056
SHIP0000023,ORD00000023,Malaysia,Road Transport,2024-06-16,2024-06-24,8,No,95569.65,CONT877433
SHIP0000024,ORD00000024,Malaysia,Air Cargo,2023-04-24,2023-05-06,12,Yes,60796.27,CONT536059
SHIP0000025,ORD00000025,Malaysia,Sea Freight,2024-10-27,2024-11-08,12,Yes,171145.88,CONT287110
SHIP0000026,ORD00000026,Malaysia,Road Transport,2023-05-05,2023-05-11,6,Yes,147662.31,CONT175496
SHIP0000027,ORD00000027,Malaysia,Sea Freight,2023-02-01,2023-02-13,12,Pending,197398.04,CONT924408
SHIP0000028,ORD00000028,Malaysia,Air Cargo,2024-07-01,2024-07-07,6,Yes,222180.03,CONT464528
SHIP0000029,ORD00000029,Malaysia,Air Cargo,2024-07-25,2024-08-05,11,Yes,198835.11,CONT201266
SHIP0000030,ORD00000030,Malaysia,Sea Freight,2022-12-29,2023-01-06,8,Yes,119617.81,CONT926350
SHIP0000031,ORD00000031,Malaysia,Air Cargo,2022-07-16,2022-07-28,12,Yes,70659.43,CONT585995
SHIP0000032,ORD00000032,Malaysia,Road Transport,2023-11-07,2023-11-14,7,Yes,233004.76,CONT858156
SHIP0000033,ORD00000033,Malaysia,Air Cargo,2023-03-11,2023-03-23,12,Yes,127279.71,CONT867436
SHIP0000034,ORD00000034,Malaysia,Air Cargo,2022-09-25,2022-10-02,7,Yes,111763.99,CONT651950
SHIP0000035,ORD00000035,Malaysia,Sea Freight,2022-04-07,2022-04-13,6,Yes,222626.66,CONT953226
SHIP0000036,ORD00000036,Malaysia,Air Cargo,2022-11-05,2022-11-17,12,Yes,160469.11,CONT852470
SHIP0000037,ORD00000037,Malaysia,Road Transport,2024-07-14,2024-07-20,6,Yes,101130.27,CONT188632
SHIP0000038,ORD00000038,Malaysia,Air Cargo,2023-04-06,2023-04-15,9,Yes,241636.55,CONT684389
SHIP0000039,ORD00000039,Malaysia,Sea Freight,2022-07-01,2022-07-07,6,Yes,251594.8,CONT930621
SHIP0000040,ORD00000040,Malaysia,Sea Freight,2024-12-05,2024-12-12,7,Pending,296321.73,CONT996921
SHIP0000041,ORD00000041,Malaysia,Road Transport,2024-11-08,2024-11-19,11,Yes,166996.82,CONT256521
SHIP0000042,ORD00000042,Malaysia,Road Transport,2022-08-14,2022-08-24,10,Yes,59168.05,CONT684688
SHIP0000043,ORD00000043,Singapore,Road Transport,2022-07-01,2022-07-08,7,Yes,179314.1,CONT714332
SHIP0000044,ORD00000044,Singapore,Sea Freight,2022-07-16,2022-07-24,8,Yes,55813.78,CONT543776
SHIP0000045,ORD00000045,Singapore,Sea Freight,2023-10-25,2023-10-31,6,Yes,286896.31,CONT318851
SHIP0000046,ORD00000046,Singapore,Sea Freight,2022-11-10,2022-11-17,7,Yes,93703.23,CONT280089
SHIP0000047,ORD00000047,Singapore,Sea Freight,2023-02-08,2023-02-14,6,Pending,281349.09,CONT561536
SHIP0000048,ORD00000048,Singapore,Sea Freight,2023-05-27,2023-06-08,12,Yes,287505.06,CONT953326
SHIP0000049,ORD00000049,Singapore,Sea Freight,2024-04-24,2024-05-06,12,Yes,243864.18,CONT782769
