downtime_id,machine_id,plant_location,start_time,end_time,duration_hours,reason,production_loss_mt,repair_cost_inr
DT000001,Machine-18,Ahmedabad Plant 1,2022-01-01 06:00:00,2022-01-01 09:23:11.203964,3.39,Breakdown,0.64,34024.09
DT000002,Machine-6,Ahmedabad Plant 2,2022-01-03 00:00:00,2022-01-03 00:58:06.451235,0.97,Operator Error,2.04,15533.79
DT000003,Machine-5,Rajkot Plant,2022-01-03 01:00:00,2022-01-03 02:50:36.992641,1.84,Operator Error,1.37,33843.25
DT000004,Machine-24,Rajkot Plant,2022-01-04 13:00:00,2022-01-04 17:50:11.413185,4.84,Breakdown,2.2,46354.14
DT000005,Machine-11,Ahmedabad Plant 1,2022-01-04 00:00:00,2022-01-04 02:01:29.185820,2.02,Raw Material Shortage,1.53,16961.93
DT000006,Machine-19,Rajkot Plant,2022-01-05 00:00:00,2022-01-05 04:53:51.395854,4.9,Raw Material Shortage,1.21,30110.75
DT000007,Machine-17,Ahmedabad Plant 1,2022-01-05 13:00:00,2022-01-05 19:40:25.422652,6.67,Operator Error,1.88,42715.81
DT000008,Machine-23,Rajkot Plant,2022-01-06 08:00:00,2022-01-06 13:05:06.455489,5.09,Raw Material Shortage,2.68,46868.77
DT000009,Machine-22,Ahmedabad Plant 2,2022-01-06 08:00:00,2022-01-06 12:18:30.947479,4.31,Raw Material Shortage,2.48,26096.7
DT000010,Machine-19,Ahmedabad Plant 1,2022-01-06 10:00:00,2022-01-06 15:47:20.232011,5.79,Power Failure,0.59,48511.06
DT000011,Machine-17,Ahmedabad Plant 2,2022-01-07 07:00:00,2022-01-07 14:12:27.003432,7.21,Raw Material Shortage,2.73,17656.31
DT000012,Machine-21,Ahmedabad Plant 1,2022-01-09 03:00:00,2022-01-09 05:37:25.515591,2.62,Breakdown,1.51,44608.53
DT000013,Machine-4,Ahmedabad Plant 1,2022-01-10 00:00:00,2022-01-10 06:56:23.256689,6.94,Operator Error,1.22,29379.93
DT000014,Machine-21,Rajkot Plant,2022-01-10 04:00:00,2022-01-10 08:03:49.593960,4.06,Breakdown,2.13,14625.5
DT000015,Machine-15,Ahmedabad Plant 1,2022-01-10 10:00:00,2022-01-10 11:08:16.367068,1.14,Raw Material Shortage,0.57,22163.78
DT000016,Machine-8,Ahmedabad Plant 1,2022-01-11 19:00:00,2022-01-12 02:35:58.519326,7.6,Power Failure,2.21,38710.86
DT000017,Machine-16,Rajkot Plant,2022-01-14 05:00:00,2022-01-14 12:35:19.417917,7.59,Scheduled Maintenance,1.56,26346.56
DT000018,Machine-16,Rajkot Plant,2022-01-15 23:00:00,2022-01-16 02:11:47.609681,3.2,Cleaning,0.95,39487.73
